deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category
,,,,,Google Youth Short Sleeve T-shirt Green,
,,,,,Google Men's Long & Lean Tee Charcoal,
,,,,,Google Women's Scoop Neck Tee Green,
,,,,,Google Men's Vintage Badge Tee Green,
,,,,,Google Keeper Vintage Tank,
,,,,,Google Women's Muscle Tee Heather,
,,,,,Go Gopher Pink Squishable,
,,,,,Android Microfleece Blanket,
,,,,,Google Men's Watershed Full Zip Hoodie Grey,
,,,,,YouTube Leatherette Notebook Combo,
,,,,,YouTube Onesie Heather,
,,,,,Sport Bag,
,,,,,Google Infuser-Top Water Bottle,
,,,,,Google Luggage Tag,
,,,,,Android Sticker Sheet Ultra Removable,
,,,,,Google Onesie Royal Blue,
,,,,,Android Hard Cover Journal,
,,,,,Android Toddler Short Sleeve T-shirt Pewter,
,,,,,Google Tri-blend Hoodie Grey,
,,,,,7&quot,
,,,,,Google Collapsible Pet Bowl,
,,,,,Google Women's Short Sleeve Performance Tee Black,
,,,,,Executive Twist Ballpoint Pen,
,,,,,Gunmetal Roller Ball Pen,
,,,,,Waze Pack of 9 Decal Set,
,,,,,Yoga Mat Blue,
,,,,,Android 5-Panel Low Cap,
,,,,,YouTube Notebook Set,
,,,,,Screen Cleaning Cloth,
,,,,,Blue Keeper Notebook Set with Flap,
,,,,,Google Toddler Tee Fruit Games Pineapple,
,,,,,Men's Lotus 1/4 Zip,
,,,,,Women's Vector Polo,
,,,,,Google Spiral Leather Journal,
,,,,,Metal Texture Roller Pen,
,,,,,Android 17oz Stainless Steel Sport Bottle,
,,,,,Google 4400mAh Power Bank,
,,,,,Google Women's V-Neck Tee Grey,
,,,,,Google Phone Sanitizer,
,,,,,23 oz Wide Mouth Sport Bottle,
,,,,,Waze Mood Happy Window Decal,
,,,,,YouTube Women's Short Sleeve Hero Tee Charcoal,
,,,,,Android Infant Short Sleeve Tee Pink,
,,,,,Google Men's Skater Tee Grey,
,,,,,Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,
,,,,,Nest® Learning Thermostat 3rd Gen-USA - White,
,,,,,Google Women's Short Sleeve Shirt Blue,
,,,,,Set of 3 Packing Cubes,
,,,,,Deluge Waterproof Backpack,
,,,,,PaperMate Ink Joy Retractable Pen,
,,,,,Google Toddler Tee Fruit Games Banana,
,,,,,YouTube Women's S/S Crew Tee,
,,,,,YouTube Men's Vintage Tee,
,,,,,Electronics Accessory Pouch,
,,,,,Red Shine 15 oz Mug,
,,,,,Google Men's Weatherblock Shell Jacket Black,
,,,,,Gift Card - $250.00,
,,,,,Google Youth Sports Tee Navy,
,,,,,Google Women's Short Sleeve Performance Tee Pewter,
,,,,,Google Women's Vintage Hero Tee Lavender,
,,,,,Google Women's Long Sleeve Blended Cardigan Charcoal,
,,,,,Android Men's Outerstellar Short Sleeve Tee Black,
,,,,,Android Stretch Fit Hat L/XL,
,,,,,Android 14 oz Mug White/Green,
,,,,,Stadium Cups-Sets of 4,
,,,,,Android BTTF Cosmos Shirt,
,,,,,Grip Highlighter Pen (3 pack),
,,,,,Google Men's Performance 1/4 Zip Pullover Heather/Black,
,,,,,Galaxy Screen Cleaning Cloth,
,,,,,Google Device Stand,
,,,,,Google Youth Short Sleeve Tee White,
,,,,,Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,
,,,,,Google Women's Short Sleeve Badge Tee Grey,
,,,,,Gel Roller Pen,
,,,,,Compact Journal with Recycled Pages,
,,,,,YouTube Men's Short Sleeve Hero Tee  White,
,,,,,Google Engraved Ceramic Mug,
,,,,,24 oz Alumnium Go Bottle (Made in the USA),
,,,,,Nest® Learning Thermostat 3rd Gen-USA,
,,,,,Android Keeper Vintage Tank,
,,,,,14oz Ceramic Google Mug,
,,,,,Eco Droid Squishable - Online,
,,,,,Google Women's Insulated Thermal Vest Navy,
,,,,,Android Wool Heather Cap Heather/Black,
